SA_step,Mu,Sigma
826,0.79116,0.62231
827,0.79116,0.62231
828,0.79116,0.62231
829,0.79116,0.62231
830,0.79116,0.62231
831,0.79116,0.62231
832,0.79116,0.62231
833,0.79116,0.62231
834,0.79116,0.62231
835,0.79116,0.62231
836,0.79116,0.62231
837,0.79116,0.62231
838,0.79116,0.62231
839,0.79116,0.62231
840,0.79116,0.62231
841,0.79116,0.62231
842,0.79116,0.62231
843,0.79116,0.62231
844,0.79116,0.62231
845,0.79116,0.62231
846,0.79116,0.62231
847,0.79116,0.62231
848,0.79116,0.62231
849,0.79116,0.62231
850,0.79116,0.62231
851,0.79116,0.62231
852,0.79116,0.62231
853,0.79116,0.62231
854,0.79116,0.62231
855,0.79116,0.62231
856,0.79116,0.62231
857,0.79116,0.62231
858,0.79116,0.62231
859,0.79116,0.62231
860,0.79116,0.62231
861,0.79116,0.62231
862,0.79116,0.62231
863,0.79116,0.62231
864,0.79116,0.62231
865,0.79116,0.62231
866,0.79116,0.62231
867,0.79116,0.62231
868,0.79116,0.62231
869,0.79116,0.62231
870,0.79116,0.62231
871,0.79116,0.62231
872,0.79116,0.62231
873,0.79116,0.62231
874,0.79116,0.62231
875,0.79116,0.62231
876,0.79116,0.62231
877,0.79116,0.62231
878,0.79116,0.62231
879,0.79116,0.62231
880,0.79116,0.62231
881,0.79116,0.62231
882,0.79116,0.62231
883,0.79116,0.62231
884,0.79116,0.62231
885,0.79116,0.62231
886,0.79116,0.62231
887,0.79116,0.62231
888,0.79116,0.62231
889,0.79116,0.62231
890,0.79116,0.62231
891,0.79116,0.62231
892,0.79116,0.62231
893,0.79116,0.62231
894,0.79116,0.62231
895,0.79116,0.62231
896,0.79116,0.62231
897,0.79116,0.62231
898,0.79116,0.62231
899,0.79116,0.62231
900,0.79116,0.62231
901,0.79116,0.62231
902,0.79116,0.62231
903,0.79116,0.62231
904,0.79116,0.62231
905,0.79116,0.62231
906,0.79116,0.62231
907,0.79116,0.62231
908,0.79116,0.62231
909,0.79116,0.62231
910,0.79116,0.62231
911,0.79116,0.62231
912,0.79116,0.62231
913,0.79116,0.62231
914,0.79116,0.62231
915,0.79116,0.62231
916,0.79116,0.62231
917,0.79116,0.62231
918,0.79116,0.62231
919,0.79116,0.62231
920,0.79116,0.62231
921,0.79116,0.62231
922,0.79116,0.62231
923,0.79116,0.62231
924,0.79116,0.62231
925,0.79116,0.62231
926,0.79116,0.62231
927,0.79116,0.62231
928,0.79116,0.62231
929,0.79116,0.62231
930,0.79116,0.62231
931,0.79116,0.62231
932,0.79116,0.62231
933,0.79116,0.62231
934,0.79116,0.62231
935,0.791141,0.622291
936,0.791141,0.622291
937,0.791141,0.622291
938,0.791141,0.622291
939,0.791141,0.622291
940,0.791141,0.622291
941,0.791141,0.622291
942,0.791141,0.622291
943,0.791141,0.622291
944,0.791141,0.622291
945,0.791141,0.622291
946,0.791141,0.622291
947,0.791141,0.622291
948,0.791141,0.622291
949,0.791141,0.622291
950,0.791141,0.622291
951,0.791141,0.622291
952,0.791141,0.622291
953,0.791141,0.622291
954,0.791141,0.622291
955,0.791141,0.622291
956,0.791141,0.622291
957,0.791141,0.622291
958,0.791141,0.622291
959,0.791141,0.622291
960,0.791141,0.622291
961,0.791141,0.622291
962,0.791141,0.622291
963,0.791141,0.622291
964,0.791141,0.622291
965,0.791141,0.622291
966,0.791141,0.622291
967,0.791141,0.622291
968,0.791141,0.622291
969,0.791141,0.622291
970,0.791141,0.622291
971,0.791141,0.622291
972,0.791141,0.622291
973,0.791141,0.622291
974,0.791141,0.622291
975,0.791141,0.622291
976,0.791141,0.622291
977,0.791141,0.622291
978,0.791141,0.622291
979,0.791141,0.622291
980,0.791141,0.622291
981,0.791141,0.622291
982,0.791141,0.622291
983,0.791141,0.622291
984,0.791141,0.622291
985,0.791141,0.622291
986,0.791141,0.622291
987,0.791141,0.622291
988,0.791141,0.622291
989,0.791141,0.622291
990,0.791141,0.622291
991,0.791141,0.622291
992,0.791141,0.622291
993,0.791141,0.622291
994,0.791141,0.622291
995,0.791141,0.622291
996,0.791141,0.622291
997,0.791141,0.622291
998,0.791141,0.622291
999,0.791141,0.622291
1000,0.791141,0.622291
